match_no,inning,batting_team,bowling_team,ball_over,ball_result,bowler,batter,non_striker,shot_direction,player_out,dismissal_kind,fielders,batsman_runs,wide_runs,bye_runs,legbye_runs,noball_runs,extra_runs,total_runs
1,1,Janakpur Bolts,Kathmandu Gorkhas,0.1,4lb,Karan KC,Lahiru Milantha,Aasif Sheikh,,,,,0,0,0,4,0,4,4
1,1,Janakpur Bolts,Kathmandu Gorkhas,0.2,0,Karan KC,Lahiru Milantha,Aasif Sheikh,,,,,0,0,0,0,0,0,0
1,1,Janakpur Bolts,Kathmandu Gorkhas,0.3,1,Karan KC,Lahiru Milantha,Aasif Sheikh,mid wicket,,,,1,0,0,0,0,0,1
1,1,Janakpur Bolts,Kathmandu Gorkhas,0.4,0,Karan KC,Aasif Sheikh,Lahiru Milantha,,,,,0,0,0,0,0,0,0
1,1,Janakpur Bolts,Kathmandu Gorkhas,0.5,1,Karan KC,Aasif Sheikh,Lahiru Milantha,third man,,,,1,0,0,0,0,0,1
1,1,Janakpur Bolts,Kathmandu Gorkhas,0.6,4,Karan KC,Lahiru Milantha,Aasif Sheikh,fine leg,,,,4,0,0,0,0,0,4
1,1,Janakpur Bolts,Kathmandu Gorkhas,1.1,4,Rashid Khan,Aasif Sheikh,Lahiru Milantha,covers,,,,4,0,0,0,0,0,4
1,1,Janakpur Bolts,Kathmandu Gorkhas,1.2,6,Rashid Khan,Aasif Sheikh,Lahiru Milantha,mid wicket,,,,6,0,0,0,0,0,6
1,1,Janakpur Bolts,Kathmandu Gorkhas,1.3,0,Rashid Khan,Aasif Sheikh,Lahiru Milantha,covers,,,,0,0,0,0,0,0,0
1,1,Janakpur Bolts,Kathmandu Gorkhas,1.4,2,Rashid Khan,Aasif Sheikh,Lahiru Milantha,covers,,,,2,0,0,0,0,0,2
1,1,Janakpur Bolts,Kathmandu Gorkhas,1.5,0,Rashid Khan,Aasif Sheikh,Lahiru Milantha,mid wicket,,,,0,0,0,0,0,0,0
